Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
25/10/2015,67,4.9,22,1
24/10/2015,78,6.2,28,1
23/10/2015,94,9.1,28,1
22/10/2015,107,7.2,20,1
21/10/2015,89,6.1,17,1
20/10/2015,95,5.9,22,1
19/10/2015,94,6.1,23,1
18/10/2015,75,7.5,22,1
17/10/2015,79,6.5,13,1
16/10/2015,59,2.9,13,1
15/10/2015,55,3.7,18,1
14/10/2015,57,3.1,25,1
13/10/2015,65,4.2,10,1
12/10/2015,53,4.9,40,1
11/10/2015,30,2.8,10,1
10/10/2015,13,1.1,14,1
9/10/2015,26,1.9,18,1
8/10/2015,37,3.2,26,1
7/10/2015,33,1.9,18,1
6/10/2015,26,1.5,13,1
5/10/2015,20,1.7,13,1
4/10/2015,22,1.5,28,1
3/10/2015,51,3,15,1
2/10/2015,62,4.2,26,1
1/10/2015,93,6.2,26,1
30/9/2015,95,6.8,40,1
29/9/2015,120,9.7,33,1
28/9/2015,156,8.6,36,1
27/9/2015,169,8.9,30,1
26/9/2015,162,8.7,38,1
25/9/2015,152,10.1,37,1
24/9/2015,101,8.7,37,1
23/9/2015,96,8.1,29,1
22/9/2015,86,5.3,21,1
21/9/2015,78,7,29,1
20/9/2015,65,3.6,23,1
19/9/2015,64,5,35,1
18/9/2015,71,6.2,40,1
17/9/2015,75,4.7,23,1
16/9/2015,86,5.3,15,1
15/9/2015,68,4.4,32,1
14/9/2015,56,4.2,28,1
13/9/2015,83,7.8,32,1
12/9/2015,89,7.8,28,1
11/9/2015,81,6.1,39,1
10/9/2015,46,3.5,30,1
9/9/2015,57,5.4,15,1
8/9/2015,42,2.7,26,1
7/9/2015,44,3.2,24,1
6/9/2015,43,3.3,24,1
5/9/2015,27,1.9,21,1
4/9/2015,37,2.4,23,1
3/9/2015,29,2.2,28,1
2/9/2015,36,3.5,25,1
1/9/2015,43,3.4,21,1
31/8/2015,35,2.7,14,1
30/8/2015,56,3.7,17,1
29/8/2015,56,3.1,20,1
28/8/2015,44,2.2,21,1
27/8/2015,55,3.1,14,1
26/8/2015,47,4.2,35,1
25/8/2015,69,4.3,26,1
24/8/2015,81,4.8,20,1
23/8/2015,81,6.1,22,1
22/8/2015,71,5.6,41,1
21/8/2015,73,6.2,36,1
20/8/2015,65,5.6,33,1
19/8/2015,50,4.8,28,1
18/8/2015,39,2.6,15,1
17/8/2015,33,1.4,7,1
16/8/2015,38,2.2,21,1
15/8/2015,39,3.9,32,1
14/8/2015,46,3,25,1
