Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
30/1/2014,99,5.6,9,1
29/1/2014,94,3.2,12,1
28/1/2014,77,4.5,11,1
27/1/2014,76,8.7,17,1
26/1/2014,97,9.9,12,1
25/1/2014,100,5.5,8,1
24/1/2014,116,7,15,1
23/1/2014,146,10.6,14,1
22/1/2014,154,9.6,15,1
21/1/2014,129,8.9,7,1
20/1/2014,133,5.9,7,1
19/1/2014,110,6.6,13,1
18/1/2014,116,7.8,16,1
17/1/2014,74,5.5,16,1
16/1/2014,80,4.7,9,1
15/1/2014,93,5.1,9,1
14/1/2014,96,6.1,9,1
13/1/2014,117,8.4,16,1
12/1/2014,133,6.3,20,1
11/1/2014,142,9.9,13,1
10/1/2014,137,7.9,19,1
9/1/2014,120,9.7,12,1
8/1/2014,107,7.4,16,1
7/1/2014,140,10.2,15,1
6/1/2014,167,11.5,15,1
5/1/2014,134,11.3,14,1
4/1/2014,136,11.6,8,1
3/1/2014,153,8.1,10,1
2/1/2014,133,7.8,11,1
1/1/2014,124,6.2,13,1
31/12/2013,136,11,13,1
30/12/2013,100,10,14,1
29/12/2013,124,6.6,15,1
28/12/2013,100,7,12,1
27/12/2013,106,6.3,8,1
26/12/2013,103,6.9,10,1
25/12/2013,96,8.2,12,1
24/12/2013,109,5.5,6,1
23/12/2013,111,6.9,14,1
22/12/2013,114,12.2,12,1
21/12/2013,140,9.6,8,1
20/12/2013,143,9.3,14,1
19/12/2013,140,6.3,11,1
18/12/2013,140,10.5,12,1
17/12/2013,121,8.9,8,1
16/12/2013,114,12.9,14,1
15/12/2013,135,7.5,10,1
14/12/2013,135,9.3,15,1
13/12/2013,144,8.3,18,1
12/12/2013,151,12.2,15,1
11/12/2013,176,13.2,18,1
10/12/2013,187,9.8,15,1
9/12/2013,142,11.1,15,1
8/12/2013,95,7.2,11,1
7/12/2013,89,6.4,11,1
6/12/2013,98,5.2,14,1
5/12/2013,110,5.7,11,1
4/12/2013,117,5.8,15,1
3/12/2013,110,7.6,16,1
2/12/2013,139,9,18,1
1/12/2013,124,9.5,17,1
30/11/2013,95,6.2,11,1
29/11/2013,98,5,11,1
28/11/2013,106,6.1,7,1
27/11/2013,73,4.9,12,1
26/11/2013,37,3.5,14,1
25/11/2013,40,6.9,11,1
24/11/2013,72,6.2,13,1
23/11/2013,62,6.7,9,1
22/11/2013,67,5.1,8,1
21/11/2013,72,4.5,9,1
20/11/2013,84,6,15,1
19/11/2013,113,8.3,11,1
18/11/2013,145,12,11,1
17/11/2013,192,20.2,10,1
16/11/2013,183,11.6,11,1
15/11/2013,166,5.4,9,1
14/11/2013,173,9.4,11,1
13/11/2013,152,5.9,13,1
12/11/2013,135,10.2,13,1
11/11/2013,113,5.3,14,1
10/11/2013,101,6.8,15,1
9/11/2013,104,6.9,15,1
8/11/2013,142,11.4,11,1
7/11/2013,166,12.3,6,1
6/11/2013,145,5.9,7,1
5/11/2013,122,4.8,11,1
4/11/2013,128,10.8,7,1
3/11/2013,123,7.2,11,1
2/11/2013,101,4.1,6,1
1/11/2013,106,8.9,9,1
31/10/2013,130,8.6,17,1
30/10/2013,146,7.9,16,1
29/10/2013,150,10.2,13,1
28/10/2013,147,6.4,16,1
27/10/2013,148,7.8,13,1
26/10/2013,132,8.8,16,1
25/10/2013,138,11.9,10,1
24/10/2013,144,11.3,15,1
23/10/2013,124,11.4,10,1
22/10/2013,118,10,15,1
21/10/2013,128,9.1,16,1
20/10/2013,114,7.5,10,1
19/10/2013,130,7.6,16,1
18/10/2013,155,9.5,12,1
17/10/2013,146,10,17,1
16/10/2013,119,11,13,1
15/10/2013,128,9.6,13,1
14/10/2013,128,8.8,13,1
13/10/2013,132,6.7,9,1
12/10/2013,112,4.8,16,1
11/10/2013,122,8.6,12,1
10/10/2013,120,6.8,14,1
9/10/2013,106,6.3,9,1
8/10/2013,96,9.2,16,1
7/10/2013,73,6.9,18,1
6/10/2013,47,3.9,13,1
5/10/2013,57,3.8,6,1
4/10/2013,79,4.5,11,1
3/10/2013,68,4.7,16,1
2/10/2013,60,4.7,15,1
1/10/2013,48,4.2,15,1
30/9/2013,53,5,17,1
29/9/2013,43,3.3,16,1
28/9/2013,56,3.9,16,1
27/9/2013,63,6.2,18,1
26/9/2013,54,6.2,12,1
25/9/2013,71,7.2,16,1
24/9/2013,65,5,16,1
23/9/2013,72,5.4,15,1
22/9/2013,79,7.6,10,1
21/9/2013,77,4,14,1
20/9/2013,90,5.3,16,1
19/9/2013,63,5.1,15,1
18/9/2013,63,3.4,15,1
17/9/2013,52,10.7,16,1
16/9/2013,25,2.1,12,1
15/9/2013,13,0.6,13,1
14/9/2013,25,2.9,10,1
13/9/2013,37,4.9,13,1
12/9/2013,52,8.5,16,1
11/9/2013,60,9.2,13,1
10/9/2013,18,2.7,18,1
9/9/2013,13,1.6,16,1
8/9/2013,25,4.1,14,1
7/9/2013,37,5.4,9,1
6/9/2013,49,2.6,19,1
5/9/2013,65,4.2,18,1
4/9/2013,78,5.3,16,1
3/9/2013,72,3.2,16,1
2/9/2013,90,4.8,17,1
1/9/2013,74,4.9,14,1
31/8/2013,74,7.2,20,1
30/8/2013,71,5.3,21,1
29/8/2013,53,2.2,17,1
28/8/2013,50,2.8,18,1
27/8/2013,56,4,22,1
26/8/2013,43,4.1,16,1
25/8/2013,50,4.1,11,1
24/8/2013,78,7,11,1
23/8/2013,138,10.8,18,1
22/8/2013,139,7.3,20,1
21/8/2013,146,6,19,1
20/8/2013,129,6.9,19,1
19/8/2013,134,7.5,19,1
18/8/2013,110,8.2,16,1
17/8/2013,100,6.6,18,1
16/8/2013,96,5.8,18,1
15/8/2013,124,11.9,16,1
14/8/2013,108,8.6,17,1
13/8/2013,108,7.4,19,1
12/8/2013,90,6.2,19,1
11/8/2013,81,4.1,18,1
10/8/2013,72,4.8,18,1
9/8/2013,64,4.8,18,1
8/8/2013,89,7.2,18,1
7/8/2013,86,8.4,16,1
6/8/2013,71,5.9,18,1
5/8/2013,82,5.6,21,1
4/8/2013,86,6.4,20,1
3/8/2013,107,6.6,19,1
2/8/2013,114,6.7,22,1
1/8/2013,96,4.8,21,1
31/7/2013,103,6.4,21,1
30/7/2013,89,4.8,17,1
29/7/2013,103,5.2,19,1
28/7/2013,73,4.2,21,1
27/7/2013,68,3.5,16,1
26/7/2013,71,3.4,19,1
25/7/2013,85,5.8,22,1
24/7/2013,70,5.7,17,1
23/7/2013,80,8.4,22,1
22/7/2013,57,4.5,20,1
21/7/2013,53,3,18,1
20/7/2013,59,3.6,15,1
19/7/2013,85,10,20,1
18/7/2013,95,7.1,21,1
17/7/2013,73,4.2,19,1
16/7/2013,77,6.2,23,1
15/7/2013,77,5.6,21,1
14/7/2013,60,7.6,17,1
13/7/2013,36,4.5,14,1
12/7/2013,73,7.8,20,1
11/7/2013,79,8.3,18,1
10/7/2013,80,5.2,21,1
9/7/2013,110,6.2,22,1
8/7/2013,122,8.5,23,1
7/7/2013,141,8.4,18,1
6/7/2013,124,9.9,16,1
5/7/2013,109,8.6,14,1
4/7/2013,121,8.1,15,1
3/7/2013,109,10.8,11,1
2/7/2013,112,7.4,18,1
1/7/2013,77,6.1,17,1
30/6/2013,80,5.9,12,1
29/6/2013,69,4.8,14,1
28/6/2013,75,7.8,12,1
27/6/2013,61,5.3,16,1
26/6/2013,60,7.5,12,1
25/6/2013,77,9.1,15,1
24/6/2013,108,6.2,14,1
23/6/2013,118,8.3,12,1
22/6/2013,137,7,14,1
21/6/2013,139,8,16,1
20/6/2013,129,5.4,16,1
19/6/2013,123,5.4,17,1
18/6/2013,113,4.7,19,1
17/6/2013,111,5.3,19,1
16/6/2013,104,5.8,15,1
15/6/2013,95,4.8,16,1
14/6/2013,64,3.5,17,1
13/6/2013,51,5.6,15,1
12/6/2013,29,2.8,14,1
11/6/2013,16,1.5,16,1
10/6/2013,26,3.1,20,1
9/6/2013,35,3.1,12,1
8/6/2013,26,2.1,17,1
7/6/2013,48,4.2,21,1
6/6/2013,76,4.4,19,1
5/6/2013,79,3.9,21,1
4/6/2013,51,2,16,1
3/6/2013,64,5,15,1
2/6/2013,77,2.8,13,1
1/6/2013,60,4.2,14,1
31/5/2013,50,4.2,15,1
30/5/2013,73,8.3,12,1
29/5/2013,72,8.3,11,1
28/5/2013,78,6,19,1
27/5/2013,92,6.7,18,1
26/5/2013,96,9.3,12,1
25/5/2013,118,5.9,13,1
24/5/2013,108,10.4,11,1
23/5/2013,108,7.3,17,1
22/5/2013,131,10.9,16,1
21/5/2013,113,5.6,11,1
20/5/2013,112,8.2,11,1
19/5/2013,127,7.5,17,1
18/5/2013,133,11.5,15,1
17/5/2013,183,11.8,10,1
16/5/2013,206,11,13,1
15/5/2013,173,13.6,17,1
14/5/2013,160,9.4,16,1
13/5/2013,153,9.1,13,1
12/5/2013,142,7.6,13,1
11/5/2013,134,7.2,14,1
10/5/2013,125,6.5,17,1
9/5/2013,116,8.6,20,1
8/5/2013,122,7.8,18,1
7/5/2013,116,7,23,1
6/5/2013,108,5.6,20,1
5/5/2013,110,4.6,20,1
4/5/2013,122,5.7,18,1
3/5/2013,98,5.7,19,1
2/5/2013,104,7.1,19,1
1/5/2013,142,11.5,19,1
30/4/2013,150,11.4,18,1
29/4/2013,141,7,21,1
28/4/2013,102,6.9,18,1
27/4/2013,107,6.3,18,1
26/4/2013,105,6.2,19,1
25/4/2013,111,6.1,25,1
24/4/2013,98,5.6,20,1
23/4/2013,82,7.8,19,1
22/4/2013,89,5.8,20,1
21/4/2013,93,5.5,16,1
20/4/2013,90,7.4,16,1
19/4/2013,87,9,20,1
18/4/2013,85,4.4,22,1
17/4/2013,95,4.9,17,1
16/4/2013,93,4.9,19,1
15/4/2013,93,6.3,23,1
14/4/2013,110,5.8,19,1
13/4/2013,117,6.7,17,1
12/4/2013,125,7.7,17,1
11/4/2013,126,6,18,1
10/4/2013,139,6.2,10,1
9/4/2013,136,5.8,14,1
8/4/2013,122,8.4,17,1
7/4/2013,126,5.8,16,1
6/4/2013,113,4.5,8,1
5/4/2013,114,6,6,1
4/4/2013,93,10.6,14,1
3/4/2013,101,7.3,15,1
2/4/2013,98,6.2,14,1
1/4/2013,79,3.7,13,1
31/3/2013,95,5.4,10,1
30/3/2013,73,4.3,18,1
29/3/2013,72,2.8,7,1
28/3/2013,47,6.3,14,1
27/3/2013,35,4.1,14,1
26/3/2013,30,2.2,15,1
25/3/2013,42,2.6,14,1
24/3/2013,41,3.2,12,1
23/3/2013,49,3.3,13,1
22/3/2013,49,4.9,17,1
21/3/2013,49,4.7,17,1
20/3/2013,51,5.9,12,1
19/3/2013,66,5.9,17,1
18/3/2013,107,5.8,12,1
17/3/2013,119,8.2,16,1
16/3/2013,110,8,15,1
15/3/2013,111,5.7,13,1
14/3/2013,123,5,17,1
13/3/2013,110,5.2,13,1
12/3/2013,115,5.9,13,1
11/3/2013,101,6.6,12,1
10/3/2013,100,12.2,7,1
9/3/2013,81,6.5,8,1
8/3/2013,73,9.8,11,1
7/3/2013,66,9.7,13,1
6/3/2013,77,5.6,22,1
5/3/2013,83,5.5,21,1
4/3/2013,88,6.2,20,1
3/3/2013,92,7.7,18,1
2/3/2013,96,7.5,9,1
1/3/2013,77,3.7,9,1
28/2/2013,70,3.8,13,1
27/2/2013,58,3.3,12,1
26/2/2013,53,2.1,12,1
25/2/2013,51,3.1,10,1
24/2/2013,30,3.2,5,1
23/2/2013,50,4.7,10,1
22/2/2013,67,4.6,14,1
21/2/2013,78,4.3,17,1
20/2/2013,107,5.7,21,1
19/2/2013,114,4,12,1
18/2/2013,109,7.5,15,1
17/2/2013,72,5.6,12,1
16/2/2013,40,5.9,9,1
15/2/2013,45,5,9,1
14/2/2013,35,2.2,11,1
13/2/2013,38,4.5,15,1
12/2/2013,64,5.4,11,1
11/2/2013,56,4.6,13,1
10/2/2013,48,4.1,16,1
9/2/2013,61,3.1,16,1
8/2/2013,59,3.1,17,1
7/2/2013,62,3.3,14,1
6/2/2013,43,3,14,1
5/2/2013,42,2.3,18,1
4/2/2013,38,3.4,12,1
3/2/2013,80,6.2,12,1
2/2/2013,72,5,13,1
1/2/2013,64,3.5,10,1
31/1/2013,49,2.9,17,1
30/1/2013,53,3.5,15,1
29/1/2013,52,2.9,9,1
28/1/2013,61,6.4,17,1
27/1/2013,72,8.1,10,1
26/1/2013,66,3.4,13,1
25/1/2013,49,2.3,12,1
24/1/2013,55,2.6,13,1
23/1/2013,60,3.5,8,1
22/1/2013,55,3.9,12,1
21/1/2013,37,3.6,7,1
20/1/2013,47,3,7,1
19/1/2013,47,3.5,12,1
18/1/2013,43,6.6,12,1
17/1/2013,63,3.6,11,1
16/1/2013,90,7.1,15,1
15/1/2013,110,4.9,10,1
14/1/2013,119,5.6,13,1
13/1/2013,128,6.8,13,1
12/1/2013,160,7.5,13,1
11/1/2013,163,9.8,14,1
10/1/2013,148,10.7,18,1
9/1/2013,156,4.3,5,1
8/1/2013,154,7.1,12,1
7/1/2013,145,7.2,10,1
6/1/2013,160,5.3,7,1
5/1/2013,162,9,8,1
4/1/2013,150,7.9,13,1
3/1/2013,130,8.6,11,1
2/1/2013,95,4,12,1
1/1/2013,99,8.6,13,1
31/12/2012,89,5.5,13,1
30/12/2012,56,5.4,15,1
29/12/2012,56,7.1,17,1
28/12/2012,53,4.6,6,1
27/12/2012,54,6.9,10,1
26/12/2012,57,6.8,13,1
25/12/2012,53,4.8,13,1
24/12/2012,57,8.6,12,1
23/12/2012,79,6,7,1
22/12/2012,78,5,7,1
21/12/2012,60,4.5,8,1
20/12/2012,56,4,11,1
19/12/2012,54,4.8,11,1
18/12/2012,60,4.4,8,1
17/12/2012,74,4.3,9,1
16/12/2012,65,4.2,10,1
15/12/2012,62,7.7,12,1
14/12/2012,60,6,10,1
13/12/2012,72,5.9,11,1
12/12/2012,67,5.9,16,1
11/12/2012,47,2.8,16,1
10/12/2012,43,2.9,12,1
9/12/2012,42,2.8,12,1
8/12/2012,50,5.4,14,1
7/12/2012,31,2.3,13,1
6/12/2012,28,3,16,1
5/12/2012,60,5.8,13,1
4/12/2012,54,4.3,10,1
3/12/2012,44,2.6,12,1
2/12/2012,47,3.1,11,1
1/12/2012,53,2.5,12,1
30/11/2012,70,2.6,10,1
29/11/2012,78,4.4,13,1
28/11/2012,77,7.6,9,1
27/11/2012,77,4.9,10,1
26/11/2012,72,4,14,1
25/11/2012,84,7.7,16,1
24/11/2012,82,5.9,10,1
23/11/2012,78,5,11,1
22/11/2012,95,6.3,16,1
21/11/2012,106,6.1,12,1
20/11/2012,105,8.4,17,1
19/11/2012,121,11.2,10,1
18/11/2012,132,13.9,11,1
17/11/2012,139,10.9,9,1
16/11/2012,142,8.2,12,1
15/11/2012,138,5.3,11,1
14/11/2012,133,5.3,17,1
13/11/2012,121,6.8,12,1
12/11/2012,122,5.3,14,1
11/11/2012,108,7.2,12,1
10/11/2012,79,4.3,13,1
9/11/2012,65,5.2,18,1
8/11/2012,65,3,12,1
7/11/2012,61,5.1,10,1
6/11/2012,47,7.1,16,1
5/11/2012,51,5,11,1
4/11/2012,45,4.8,13,1
3/11/2012,44,5.1,13,1
2/11/2012,45,3.3,17,1
1/11/2012,47,3.4,13,1
31/10/2012,50,2.9,20,1
30/10/2012,65,5.3,14,1
29/10/2012,69,4.5,13,1
28/10/2012,53,2.2,12,1
27/10/2012,67,3,15,1
26/10/2012,78,6.8,10,1
25/10/2012,79,6.3,14,1
24/10/2012,95,5.7,15,1
23/10/2012,92,5.4,20,1
22/10/2012,85,4.7,21,1
21/10/2012,82,4.6,17,1
20/10/2012,73,5.5,15,1
19/10/2012,95,8.9,22,1
18/10/2012,109,6.1,14,1
17/10/2012,102,5.1,13,1
16/10/2012,115,9.2,18,1
15/10/2012,119,5.8,17,1
14/10/2012,95,5.6,14,1
13/10/2012,80,4.9,10,1
12/10/2012,83,4,16,1
11/10/2012,73,5,17,1
10/10/2012,76,5,20,1
9/10/2012,70,4.4,21,1
8/10/2012,49,4.7,17,1
7/10/2012,40,2.3,16,1
6/10/2012,43,2.9,11,1
5/10/2012,60,4.4,17,1
4/10/2012,62,2.7,20,1
3/10/2012,63,2.8,14,1
2/10/2012,73,3.3,12,1
1/10/2012,78,4.4,18,1
30/9/2012,99,9.7,13,1
29/9/2012,79,3.5,12,1
28/9/2012,85,4.9,17,1
27/9/2012,113,12.7,18,1
26/9/2012,145,16.2,20,1
25/9/2012,136,11.5,17,1
24/9/2012,95,7.2,16,1
23/9/2012,75,6.6,6,1
22/9/2012,58,4,19,1
21/9/2012,84,8.8,19,1
20/9/2012,81,4.2,19,1
19/9/2012,67,3.4,18,1
18/9/2012,64,4.5,16,1
17/9/2012,55,2.8,17,1
16/9/2012,64,4.7,17,1
15/9/2012,61,3.7,18,1
14/9/2012,52,2.7,14,1
13/9/2012,58,4,15,1
12/9/2012,73,4.2,21,1
11/9/2012,76,7.4,17,1
10/9/2012,70,5.6,20,1
9/9/2012,89,6.9,20,1
8/9/2012,82,3.5,16,1
7/9/2012,95,6.7,21,1
6/9/2012,116,7.5,17,1
5/9/2012,122,8.2,18,1
4/9/2012,159,12.5,20,1
3/9/2012,171,17.7,17,1
2/9/2012,142,7.4,16,1
1/9/2012,145,7.9,17,1
31/8/2012,150,9.9,19,1
30/8/2012,126,6.8,20,1
29/8/2012,83,6.4,19,1
28/8/2012,80,5.1,20,1
27/8/2012,75,4,22,1
26/8/2012,78,4.6,14,1
25/8/2012,77,4.6,18,1
24/8/2012,71,3.9,21,1
23/8/2012,71,5.1,22,1
22/8/2012,69,4.2,21,1
21/8/2012,71,3.2,22,1
20/8/2012,80,6.3,21,1
19/8/2012,72,5.2,19,1
18/8/2012,54,4.2,18,1
17/8/2012,50,3.9,19,1
16/8/2012,32,2.3,22,1
15/8/2012,30,2.2,17,1
14/8/2012,33,1.9,16,1
13/8/2012,74,3.6,16,1
12/8/2012,98,5.5,17,1
11/8/2012,108,6.2,18,1
10/8/2012,131,8.7,19,1
9/8/2012,158,10.5,25,1
8/8/2012,123,6.9,24,1
7/8/2012,122,6.8,22,1
6/8/2012,98,6,20,1
5/8/2012,123,7,18,1
4/8/2012,152,11,20,1
3/8/2012,174,10.9,21,1
2/8/2012,143,8.9,21,1
1/8/2012,132,8,21,1
31/7/2012,122,7.2,17,1
30/7/2012,120,6,20,1
29/7/2012,111,5.3,19,1
28/7/2012,107,6.5,19,1
27/7/2012,110,7.5,24,1
26/7/2012,86,5.2,24,1
25/7/2012,68,4.8,20,1
24/7/2012,71,5.2,19,1
23/7/2012,63,4.6,22,1
22/7/2012,29,3.2,17,1
21/7/2012,29,2.9,16,1
20/7/2012,36,4.6,15,1
19/7/2012,38,3.2,23,1
18/7/2012,57,3.8,22,1
17/7/2012,86,8.5,20,1
16/7/2012,102,5.3,19,1
15/7/2012,117,8.5,18,1
14/7/2012,125,8.2,15,1
13/7/2012,129,11.5,16,1
12/7/2012,125,11,20,1
11/7/2012,110,7.8,23,1
10/7/2012,107,8.4,20,1
9/7/2012,122,10.5,23,1
8/7/2012,117,8.1,18,1
7/7/2012,146,9.3,19,1
6/7/2012,132,8.2,18,1
5/7/2012,129,7.8,18,1
4/7/2012,131,8.4,21,1
3/7/2012,125,7.5,18,1
2/7/2012,128,10.2,21,1
1/7/2012,126,5.9,17,1
30/6/2012,104,3.6,21,1
29/6/2012,103,5.1,19,1
28/6/2012,87,4.6,19,1
27/6/2012,70,6.8,22,1
26/6/2012,36,3.1,18,1
25/6/2012,17,1,17,1
24/6/2012,20,4.1,15,1
23/6/2012,16,1.5,19,1
22/6/2012,16,1.7,17,1
21/6/2012,16,2.5,14,1
20/6/2012,30,2.7,16,1
19/6/2012,51,5.6,17,1
18/6/2012,57,4.1,17,1
17/6/2012,88,7.6,20,1
16/6/2012,106,8.3,12,1
15/6/2012,117,7.8,16,1
14/6/2012,123,5.9,19,1
13/6/2012,113,7,17,1
12/6/2012,111,6.6,10,1
11/6/2012,128,8.5,13,1
10/6/2012,121,6.8,17,1
9/6/2012,106,7.3,14,1
8/6/2012,107,7.1,21,1
7/6/2012,127,9.2,19,1
6/6/2012,153,10.2,17,1
5/6/2012,151,11.7,14,1
4/6/2012,148,8,15,1
3/6/2012,165,2.9,7,1
2/6/2012,151,9.8,19,1
1/6/2012,121,7,17,1
31/5/2012,89,7.6,17,1
30/5/2012,73,5.8,17,1
29/5/2012,78,4.5,20,1
28/5/2012,109,8.6,23,1
27/5/2012,82,4.2,19,1
26/5/2012,80,7,21,1
25/5/2012,94,4.9,17,1
24/5/2012,87,9.8,18,1
23/5/2012,77,6.5,21,1
22/5/2012,80,6.1,16,1
21/5/2012,110,7.5,14,1
20/5/2012,116,6,13,1
19/5/2012,109,10.2,19,1
18/5/2012,102,4.9,17,1
17/5/2012,110,8.5,19,1
16/5/2012,137,9.8,15,1
15/5/2012,122,6.3,14,1
14/5/2012,119,7.3,20,1
13/5/2012,105,7,16,1
12/5/2012,101,7.1,22,1
11/5/2012,110,13.3,18,1
10/5/2012,96,7,21,1
9/5/2012,91,6.9,19,1
8/5/2012,85,4.7,16,1
7/5/2012,80,5.9,19,1
6/5/2012,87,5.6,12,1
5/5/2012,88,5.2,11,1
4/5/2012,87,4.9,19,1
3/5/2012,96,5.3,16,1
2/5/2012,95,7.9,14,1
1/5/2012,96,7.9,20,1
30/4/2012,104,5.3,18,1
29/4/2012,110,9.3,13,1
28/4/2012,112,8,16,1
27/4/2012,106,5.9,18,1
26/4/2012,117,7,13,1
25/4/2012,126,6.8,15,1
24/4/2012,134,7.4,16,1
23/4/2012,138,5.6,21,1
22/4/2012,146,10.2,15,1
21/4/2012,162,12.9,13,1
20/4/2012,168,8.5,18,1
19/4/2012,148,10,20,1
18/4/2012,112,6.8,18,1
17/4/2012,79,4.6,19,1
16/4/2012,61,7.3,15,1
15/4/2012,90,9.8,13,1
14/4/2012,51,4.3,17,1
13/4/2012,54,3,17,1
12/4/2012,58,4.8,20,1
11/4/2012,30,4.8,16,1
10/4/2012,16,5.2,11,1
9/4/2012,14,3.5,12,1
8/4/2012,25,3.3,14,1
7/4/2012,30,4,11,1
6/4/2012,53,8.2,20,1
5/4/2012,53,5.7,9,1
4/4/2012,64,4.7,13,1
3/4/2012,72,4.9,21,1
2/4/2012,79,6.7,20,1
1/4/2012,65,8.3,17,1
31/3/2012,89,12.2,10,1
30/3/2012,94,8.9,13,1
29/3/2012,106,5.3,19,1
28/3/2012,88,5.5,21,1
27/3/2012,84,4.7,21,1
26/3/2012,88,6.8,21,1
25/3/2012,89,8.1,18,1
24/3/2012,94,8.6,19,1
23/3/2012,71,9.4,16,1
22/3/2012,70,7.3,18,1
21/3/2012,77,5.3,20,1
20/3/2012,86,5.5,20,1
19/3/2012,74,5.1,21,1
18/3/2012,62,5.2,14,1
17/3/2012,88,8.9,12,1
16/3/2012,85,6.9,21,1
15/3/2012,88,6.8,22,1
14/3/2012,85,6,16,1
13/3/2012,96,6.7,13,1
12/3/2012,116,7.7,15,1
11/3/2012,116,6.6,16,1
10/3/2012,104,14.5,12,1
9/3/2012,110,12.4,14,1
8/3/2012,97,8.1,18,1
7/3/2012,106,8.1,10,1
6/3/2012,115,7.4,15,1
5/3/2012,108,6.8,10,1
4/3/2012,86,5.7,12,1
3/3/2012,63,4.3,18,1
2/3/2012,27,2.3,12,1
1/3/2012,24,2.1,13,1
29/2/2012,20,2.8,13,1
28/2/2012,39,4.9,11,1
27/2/2012,44,4.7,13,1
26/2/2012,48,4.7,12,1
25/2/2012,48,2.9,18,1
24/2/2012,58,6.4,13,1
23/2/2012,55,5.3,9,1
22/2/2012,44,3.8,14,1
21/2/2012,59,4.1,18,1
20/2/2012,64,7.3,14,1
19/2/2012,70,3.7,18,1
18/2/2012,55,5.6,11,1
17/2/2012,49,3.1,11,1
16/2/2012,48,2.2,9,1
15/2/2012,54,3.4,7,1
14/2/2012,58,3.5,10,1
13/2/2012,65,4,10,1
12/2/2012,49,4.6,8,1
11/2/2012,46,3.3,18,1
10/2/2012,46,4.4,18,1
9/2/2012,29,3.8,14,1
8/2/2012,13,3.1,17,1
7/2/2012,32,4.8,12,1
6/2/2012,42,3,13,1
5/2/2012,29,2.5,12,1
4/2/2012,38,2.5,12,1
3/2/2012,35,2.9,16,1
2/2/2012,59,5.8,19,1
1/2/2012,89,7,18,1
31/1/2012,75,5.6,16,1
30/1/2012,62,5.9,13,1
29/1/2012,57,5.6,9,1
28/1/2012,45,3.7,10,1
27/1/2012,65,6.5,19,1
26/1/2012,49,4.1,10,1
25/1/2012,76,8.7,7,1
24/1/2012,86,9.2,11,1
23/1/2012,113,9.1,16,1
22/1/2012,109,6.1,10,1
21/1/2012,112,6.1,8,1
20/1/2012,102,10.3,7,1
19/1/2012,105,8.5,8,1
18/1/2012,126,7.4,11,1
17/1/2012,141,9,19,1
16/1/2012,154,8.8,16,1
15/1/2012,149,10.7,18,1
14/1/2012,118,5.6,15,1
13/1/2012,71,4.9,21,1
12/1/2012,52,3.4,13,1
11/1/2012,63,5.1,15,1
10/1/2012,70,5.5,12,1
9/1/2012,79,4,11,1
8/1/2012,104,7,11,1
7/1/2012,113,6.3,10,1
6/1/2012,113,4.6,9,1
5/1/2012,109,6.8,13,1
4/1/2012,126,9.2,16,1
3/1/2012,120,7.4,10,1
2/1/2012,92,7.9,14,1
1/1/2012,71,4.7,8,1
31/12/2011,93,5.9,11,1
30/12/2011,93,6,14,1
29/12/2011,112,8.4,13,1
28/12/2011,109,13.7,11,1
27/12/2011,114,15.6,7,1
26/12/2011,117,9.9,10,1
25/12/2011,97,4.4,7,1
24/12/2011,84,4.6,14,1
23/12/2011,103,4.4,9,1
22/12/2011,103,7.3,9,1
21/12/2011,109,11,9,1
20/12/2011,108,8.6,14,1
19/12/2011,115,6.5,11,1
18/12/2011,100,5.3,15,1
17/12/2011,90,5.3,14,1
16/12/2011,75,4.3,8,1
15/12/2011,57,6.3,15,1
14/12/2011,78,3.1,7,1
13/12/2011,81,4.2,11,1
12/12/2011,76,6.4,16,1
11/12/2011,93,7.6,14,1
10/12/2011,102,7.7,15,1
9/12/2011,114,6,15,1
8/12/2011,159,13,10,1
7/12/2011,132,8.9,15,1
6/12/2011,151,9.4,15,1
5/12/2011,151,9.9,17,1
4/12/2011,162,8.9,8,1
3/12/2011,154,7.1,6,1
2/12/2011,127,16.1,12,1
1/12/2011,129,8.8,9,1
30/11/2011,132,10.1,18,1
29/11/2011,135,8.8,14,1
28/11/2011,98,7.5,18,1
27/11/2011,124,5.9,8,1
26/11/2011,131,9.2,17,1
25/11/2011,158,10.5,14,1
24/11/2011,131,8.4,13,1
23/11/2011,142,15.7,10,1
22/11/2011,138,11.9,16,1
21/11/2011,127,9.2,13,1
20/11/2011,137,11.6,15,1
19/11/2011,128,13.3,10,1
18/11/2011,132,14.2,13,1
17/11/2011,121,10.2,12,1
16/11/2011,125,8.9,20,1
15/11/2011,141,9,19,1
14/11/2011,164,12.9,17,1
13/11/2011,162,10,15,1
12/11/2011,157,5.7,18,1
11/11/2011,162,6.8,9,1
10/11/2011,170,11.4,17,1
9/11/2011,177,9,17,1
8/11/2011,171,9.8,14,1
7/11/2011,173,9.9,12,1
6/11/2011,145,6.7,10,1
5/11/2011,114,6.8,11,1
4/11/2011,99,5.5,15,1
3/11/2011,125,9.1,13,1
2/11/2011,128,9.3,17,1
1/11/2011,125,10.6,19,1
31/10/2011,96,8.5,18,1
30/10/2011,103,6.6,13,1
29/10/2011,94,14,16,1
28/10/2011,101,12.5,18,1
27/10/2011,93,7.2,17,1
26/10/2011,104,9.5,17,1
25/10/2011,110,9,7,1
24/10/2011,130,12,13,1
23/10/2011,134,10,17,1
22/10/2011,174,10,15,1
